"region","byggår","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"0180C2090","2001-2010",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"0180C2090","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2090","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2100","2001-2010",2,2,2,2,2,2,2,2,2,2,2,2,2,2
"0180C2100","2011-2020",..,..,..,..,1,1,2,6,5,5,5,5,6,1
"0180C2100","2021-2030",..,..,..,..,..,..,..,..,..,..,..,1,1,1
"0180C2110","2001-2010",7,7,7,7,7,7,7,7,6,7,7,7,7,7
"0180C2110","2011-2020",..,..,..,..,1,4,5,5,7,10,10,10,10,10
"0180C2110","2021-2030",..,..,..,..,..,..,..,..,..,..,..,4,9,14
"0180C2120","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
